NPersonal,estadoFinalizado,calificacion,puntaje,IDCurso
3479131,0,,0.0,DIT-001
3479164,0,,0.0,DIT-001
3479182,0,,0.0,DIT-001
3479189,1,Apto,91.0,DIT-001
3479202,1,Apto,80.0,DIT-001
3477848,1,Apto,91.0,DIT-001
3477873,1,Apto,80.0,DIT-001
3477878,0,,0.0,DIT-001
3479266,0,,0.0,DIT-001
3479261,0,,0.0,DIT-001
3479287,0,,0.0,DIT-001
3478195,0,,0.0,DIT-001
3479445,0,,0.0,DIT-001
3479459,1,Apto,100.0,DIT-001
3479511,1,Apto,82.0,DIT-001
3483814,1,Apto,82.0,DIT-001
3483833,1,Apto,91.0,DIT-001
3483834,1,Apto,80.0,DIT-001
3484033,1,Apto,80.0,DIT-001
3484035,0,,0.0,DIT-001
3484056,1,Apto,80.0,DIT-001
3484067,1,Apto,100.0,DIT-001
3484098,0,,0.0,DIT-001
3484096,0,,0.0,DIT-001
3484134,0,,0.0,DIT-001
3484207,0,,0.0,DIT-001
3484397,1,Apto,100.0,DIT-001
3480123,0,,0.0,DIT-001
