OSMadre,Orden,costoRepuesto,costoMO,costoTTA,costoTotal,wip
505900468600,505900468602,0.0,0.0,0.0,0.0,0
505900468600,505900468603,0.0,0.0,0.0,0.0,0
505900468600,505900468604,0.0,0.0,0.0,0.0,0
505900468600,505900468605,0.0,0.0,0.0,0.0,0
505900468600,505900468606,0.0,0.0,0.0,0.0,0
505900468600,505900468607,0.0,0.0,0.0,0.0,0
505900468600,505900468608,0.0,0.0,0.0,0.0,0
505900469400,505900469401,22868.68,4571.24,0.0,27439.92,109
505900469400,505900469402,0.0,0.0,0.0,0.0,0
505900469400,505900469403,1916.98,0.0,0.0,1916.98,99
505900469400,505900469404,0.0,0.0,0.0,0.0,0
505900469400,505900469405,2685.33,0.0,0.0,2685.33,31
505900469400,505900469406,0.0,0.0,0.0,0.0,0
505900469400,505900469407,0.0,0.0,0.0,0.0,0
505900469400,505900469408,0.0,0.0,0.0,0.0,0
505900469400,505900469409,0.0,0.0,0.0,0.0,0
505900477100,505900477101,41665.56,9241.93,0.0,58740.15,84
505900477100,505900477102,0.0,0.0,0.0,0.0,0
505900477100,505900477103,171.67,0.0,0.0,171.67,58
505900477100,505900477104,0.0,0.0,0.0,0.0,0
505900477100,505900477105,0.0,0.0,0.0,0.0,0
505900477100,505900477106,0.0,0.0,0.0,0.0,0
505900477100,505900477107,0.0,0.0,0.0,0.0,0
505900477100,505900477108,0.0,0.0,0.0,0.0,0
505900477100,505900477109,0.0,0.0,0.0,0.0,0
505900477100,505900477110,943.52,0.0,0.0,943.52,64
505900477100,505900477111,240.14,0.0,0.0,240.14,64
505900477100,505900477112,539.82,0.0,0.0,539.82,67
505900478700,505900478701,4517.12,1304.94,0.0,8393.05,87
505900478700,505900478702,59626.57,5659.42,0.0,65285.99,87
505900478700,505900478703,0.0,0.0,0.0,0.0,0
505900478700,505900478704,0.0,0.0,0.0,0.0,0
505900478700,505900478705,0.0,0.0,0.0,0.0,0
505900478700,505900478706,0.0,0.0,0.0,0.0,0
505900478700,505900478707,0.0,0.0,0.0,0.0,0
505900478700,505900478708,0.0,0.0,882.14,882.14,56
505900478900,505900478901,19075.96,7373.21,0.0,29204.51,84
505900478900,505900478902,0.0,0.0,0.0,0.0,0
505900478900,505900478903,574.58,0.0,0.0,574.58,76
505900478900,505900478904,0.0,0.0,0.0,0.0,0
505900478900,505900478905,0.0,0.0,0.0,0.0,0
505900478900,505900478906,0.0,0.0,0.0,0.0,0
505900478900,505900478907,0.0,0.0,0.0,0.0,0
