Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;3TZ;100-8094;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
8Y-6364;1;;1326;SLEEVE;123-6975;GAUGE GP-OIL LEVEL (DIPSTICK);CCR EN&CA
2N-0931;1;;1380;GASKET;137-8227;LINES GP-WATER -BYPASS;CCR EN&CA
4W-3100;1;;1380;GASKET;137-8227;LINES GP-WATER -BYPASS;CCR EN&CA
3K-0360;1;;1261;SEAL-O-RING;143-5124;FILTER GP-FUEL -SECONDARY;CCR EN&CA
1R-0755;2;;1261;FILTER-FUEL (ADVANCED EFFICIENCY);143-5124;FILTER GP-FUEL -SECONDARY;CCR EN&CA
2K-8198;4;;1261;SEAL-O-RING;143-5124;FILTER GP-FUEL -SECONDARY;CCR EN&CA
5P-1075;1;;1261;WASHER-HARD (10.2X22.5X3-MM THK);143-5124;FILTER GP-FUEL -SECONDARY;CCR EN&CA
6V-0871;1;;1261;GROMMET;143-5124;FILTER GP-FUEL -SECONDARY;CCR EN&CA
7L-6326;1;;1261;CLIP;143-5124;FILTER GP-FUEL -SECONDARY;CCR EN&CA
8N-3653;1;;1261;STUD-TAPERLOCK;143-5124;FILTER GP-FUEL -SECONDARY;CCR EN&CA
109-7411;4;;1071;SEAL-O-RING;156-6233;LINES GP-TURBOCHARGER AIR -INTAKE EXHAUST;CCR EN&CA
5D-5957;4;;1071;SEAL-O-RING;156-6233;LINES GP-TURBOCHARGER AIR -INTAKE EXHAUST;CCR EN&CA
5P-8940;3;;1071;SEAL-O-RING;156-6233;LINES GP-TURBOCHARGER AIR -INTAKE EXHAUST;CCR EN&CA
111-4374;1;;1393;VALVE AS;157-2840;HOUSING & REGULATOR GP -OUTLET CONTROL;CCR EN&CA
248-5513;4;;1393;REGULATOR-WATER TEMPERATURE (92-DEG C)(WATER);157-2840;HOUSING & REGULATOR GP -OUTLET CONTROL;CCR EN&CA
3S-9643;4;;1393;SEAL-LIP TYPE (WATER TEMPERATURE REGULATOR);157-2840;HOUSING & REGULATOR GP -OUTLET CONTROL;CCR EN&CA
7N-4927;1;;1393;GASKET-HOUSING COVER;157-2840;HOUSING & REGULATOR GP -OUTLET CONTROL;CCR EN&CA
109-2332;2;;1378;SEAL-O-RING;362-8401;COOLER GP-ENGINE OIL;CCR EN&CA
247-3796;2;;1378;GASKET (ENGINE OIL COOLER);362-8401;COOLER GP-ENGINE OIL;CCR EN&CA
8S-9191;8;;1378;BOLT (3/8-16X4-IN);362-8401;COOLER GP-ENGINE OIL;CCR EN&CA
107-3758;4;;1063;SEAL (AFTERCOOLER);380-2696;AFTERCOOLER GP-TREATED WATER;CCR EN&CA
0L-1143;4;;1307;BOLT (3/8-16X2.5-IN);381-8703;LINES GP-ENGINE OIL;CCR EN&CA
109-2332;5;;1307;SEAL-O-RING;381-8703;LINES GP-ENGINE OIL;CCR EN&CA
111-3820;1;;1307;RING-RETAINING;381-8703;LINES GP-ENGINE OIL;CCR EN&CA
5P-4892;1;;1307;SEAL-O-RING;381-8703;LINES GP-ENGINE OIL;CCR EN&CA
2W-1635;1;;1307;SPRING;381-8703;LINES GP-ENGINE OIL;CCR EN&CA
