Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;7KK, 10R8903;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
4D-7388;1;;1408;Clip;118-9692;Wiring GP-Engine;CCR TU&EL
8M-2772;1;;1408;Clip;118-9692;Wiring GP-Engine;CCR TU&EL
4P-7429;1;;1408;Clip;118-9692;Wiring GP-Engine;CCR TU&EL
7E-6508;12;;1408;Cap AS;109-0401;Wiring GP-Unit Injector;CCR DESARME
107-6761;12;;1408;Clip;109-0401;Wiring GP-Unit Injector;CCR DESARME
179-7087;6;;1408;Harness AS-Engine;109-0401;Wiring GP-Unit Injector;CCR DESARME
033-6034;6;;1408;Seal-O-Ring;109-0401;Wiring GP-Unit Injector;CCR DESARME
5L-4019;12;;1408;Ring-Retaining;109-0401;Wiring GP-Unit Injector;CCR DESARME
167-1709;1;;1100;Sensor GP-Pressure;108-1552;Cylinder Head GP;CCR TU&EL
194-6724;1;;1100;Sensor GP-Pressure;108-1552;Cylinder Head GP;CCR TU&EL
