Serial;Number;or;Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes
0;;340-2665;;;;;;;
;;;;;;;;;
Part;No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note;
448-7021;1;1326;SPACER (11.3X19.05X90-MM THK);347-4371;;CCR DESAR;;;
4N-0848;1;1204;SLEEVE-WEAR;245-9776;;CCR DESAR;;;
102-5861;2;1204;PLATE-THRUST;245-9776;;CCR DESAR;;;
224-9664;2;1204;BUSHING;245-9776;;CCR DESAR;;;
4N-0684;2;1204;DOWEL;245-9776;;CCR DESAR;;;
1B-8705;1;1204;KEY-WOODRUFF;245-9776;;CCR DESAR;;;
226-6052;1;1204;BUSHING;245-9776;;CCR DESAR;;;
229-1663;1;1204;PLATE-THRUST;245-9776;;CCR DESAR;;;
031-5085;6;1204;BOLT-LOCKING (1/4-20X1-IN);245-9776;;CCR DESAR;;;
117-8801;2;1204;SEAL-O-RING;245-9776;;CCR DESAR;;;
5E-8771;2;1204;SEAL-O-RING;245-9776;;CCR DESAR;;;
6V-3319;1;1204;SEAL-O-RING;245-9776;;CCR DESAR;;;
225-1242;1;1157;GASKET (FLYWHEEL HOUSING);245-9775;;CCR DESAR;;;
214-7567;1;1157;SEAL-O-RING;245-9775;;CCR DESAR;;;
5M-2894;28;1157;WASHER-HARD (10.2X18.5X2.5-MM THK);245-9775;;CCR DESAR;;;
5P-8245;8;1157;WASHER-HARD (13.5X25.5X3-MM THK);245-9775;;CCR DESAR;;;
214-7566;1;1157;SEAL-O-RING;245-9775;;CCR DESAR;;;
214-7568;1;1157;SEAL-O-RING;245-9775;;CCR DESAR;;;
238-5080;1;1157;SEAL-O-RING;245-9775;;CCR DESAR;;;
8S-9191;6;1157;BOLT (3/8-16X4-IN);245-9775;;CCR DESAR;;;
238-5082;1;1157;SEAL-O-RING;245-9775;;CCR DESAR;;;
142-5868;1;1160;"SEAL-CRANKSHAFT (REAR	 SEAL GP-CRANKSHAFT -R";319-0785;;CCR BLK;;;
5P-8245;5;1122;WASHER-HARD (13.5X25.5X3-MM THK);235-2014;;CCR DESAR;;;
5M-2894;4;1071;WASHER-HARD (10.2X18.5X2.5-MM THK);348-7879;;CCR DESAR;;;
5P-5700;8;1071;SEAL-O-RING;348-7879;;CCR DESAR;;;
4N-0913;1;1307;SCREEN-STRAINER;270-7020;;CCR DESAR;;;
4N-0914;1;1307;CLIP;270-7020;;CCR DESAR;;;
3P-0650;1;1307;SEAL-O-RING;270-7020;;CCR DESAR;;;
4B-4278;6;1307;WASHER (10.2X20.5X1.6-MM THK);270-7020;;CCR DESAR;;;
5P-8068;1;1307;SEAL-O-RING;270-7020;;CCR DESAR;;;
4N-0865;1;1308;GASKET;360-2377;;CCR DESAR;;;
9F-6304;2;1308;SPRING;360-2377;;CCR DESAR;;;
1P-1367;2;1308;PLUNGER (RELIEF VALVE);360-2377;;CCR DESAR;;;
378-3068;1;1308;HOSE AS;360-2377;;CCR DESAR;;;
378-0575;1;1308;HOSE AS;360-2377;;CCR DESAR;;;
113-5304;3;1308;SEAL-O-RING;360-2377;;CCR DESAR;;;
061-7540;2;1308;SEAL-O-RING;360-2377;;CCR DESAR;;;
5M-2894;3;1308;WASHER-HARD (10.2X18.5X2.5-MM THK);360-2377;;CCR DESAR;;;
5P-8068;1;1308;SEAL-O-RING;360-2377;;CCR DESAR;;;
5P-8244;8;1308;WASHER-HARD (12X22.5X2.5-MM THK);360-2377;;CCR DESAR;;;
5P-8245;6;1308;WASHER-HARD (13.5X25.5X3-MM THK);360-2377;;CCR DESAR;;;
112-3540;2;1308;SEAL-O-RING;360-2377;;CCR DESAR;;;
346-6393;1;1308;GROMMET;360-2377;;CCR DESAR;;;
228-7096;1;1308;SEAL-O-RING;360-2377;;CCR DESAR;;;
214-7568;8;1274;SEAL-O-RING;357-1292;;CCR DESAR;;;
322-7615;1;1274;HOSE AS;357-1292;;CCR DESAR;;;
375-6148;2;1274;HOSE AS;357-1292;;CCR DESAR;;;
327-4448;2;1274;VALVE GP-CHECK (FUEL PRESSURE REGULATING);357-1292;;CCR DESAR;;;
334-3801;1;1274;LINE-FUEL;357-1292;;CCR DESAR;;;
238-5081;1;1274;SEAL-O-RING;357-1292;;CCR DESAR;;;
238-5080;1;1274;SEAL-O-RING;357-1292;;CCR DESAR;;;
5M-2894;12;1274;WASHER-HARD (10.2X18.5X2.5-MM THK);357-1292;;CCR DESAR;;;
353-7954;4;1274;GROMMET (16-MM ID);357-1292;;CCR DESAR;;;
4P-7581;1;1274;CLIP (LADDER);357-1292;;CCR DESAR;;;
108-1434;1;1274;GROMMET;535-8062;;CCR DESAR;;;
185-4026;1;1274;VALVE GP-CHECK;535-8062;;CCR DESAR;;;
3K-0360;1;1274;SEAL-O-RING;535-8062;;CCR DESAR;;;
6V-8398;1;1274;SEAL-O-RING;535-8062;;CCR DESAR;;;
238-5081;5;1274;SEAL-O-RING;535-8062;;CCR DESAR;;;
362-1752;1;1274;HOSE AS;535-8062;;CCR DESAR;;;
364-8686;1;1274;HOSE AS;535-8062;;CCR DESAR;;;
238-5080;2;1274;SEAL-O-RING;535-8062;;CCR DESAR;;;
393-1439;1;1274;HOSE &amp;;;;;;
5M-2894;3;1274;WASHER-HARD (10.2X18.5X2.5-MM THK);535-8062;;CCR DESAR;;;
3E-4352;1;1274;WASHER-HARD (8.8X20.5X2.5-MM THK);535-8062;;CCR DESAR;;;
126-2702;2;1052;SEAL-INTEGRAL;357-9700;;CCR DESAR;;;
198-6068;2;1052;SEAL-INTEGRAL;357-9700;;CCR DESAR;;;
