Serial;Number;or;Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes
0;;r120ceJGB;;;;;;;
;;;;;;;;;
Part;No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note;
6V-5063;2;1380;SEAL-O-RING;235-0364;LINES GP-WATER -SINGLE TEMPERATURE REGULATOR;CCR DESAR;;;
6V-9027;1;1380;SEAL-O-RING;235-0364;LINES GP-WATER -SINGLE TEMPERATURE REGULATOR;CCR DESAR;;;
7L-6580;2;1380;SEAL-O-RING;235-0364;LINES GP-WATER -SINGLE TEMPERATURE REGULATOR;CCR DESAR;;;
154-9023;1;1380;VALVE-SAMPLING (COOLANT);235-0364;LINES GP-WATER -SINGLE TEMPERATURE REGULATOR;CCR DESAR;;;
3J-7354;1;1380;SEAL-O-RING;235-0364;LINES GP-WATER -SINGLE TEMPERATURE REGULATOR;CCR DESAR;;;
6V-6609;2;1380;SEAL-O-RING;235-0364;LINES GP-WATER -SINGLE TEMPERATURE REGULATOR;CCR DESAR;;;
6V-3251;1;1380;SEAL-O-RING;236-5900;LINES GP-WATER -INLET ELBOW;CCR DESAR;;;
6V-5063;1;1380;SEAL-O-RING;236-5900;LINES GP-WATER -INLET ELBOW;CCR DESAR;;;
238-5084;1;1380;SEAL-O-RING;236-5900;LINES GP-WATER -INLET ELBOW;CCR DESAR;;;
283-2238;6;1059;GASKET;247-2833;MANIFOLD GP-EXHAUST;CCR DESAR;;;
116-3715;12;1059;STUD-TAPERLOCK (M10X1.5X85-MM);247-2833;MANIFOLD GP-EXHAUST;CCR DESAR;;;
9X-6620;12;1059;LOCKNUT (M10X1.5-THD);247-2833;MANIFOLD GP-EXHAUST;CCR DESAR;;;
6V-5839;12;1059;WASHER (11X21X2.5-MM THK);247-2833;MANIFOLD GP-EXHAUST;CCR DESAR;;;
